tconst	averageRating	numVotes
tt11778776	7.6	5
tt8942782	7.8	46
tt8942784	7.9	49
tt15301666	7.1	786
tt5592804	7.2	20
tt8942734	6.0	5
tt8942738	5.2	5
tt10695542	9.5	29
tt14063848	7.2	7
tt12950236	7.6	41
tt5881750	8.9	27
tt10695534	9.7	41
tt12240690	6.5	731
tt16227608	6.5	7
tt6661436	6.1	13
tt5528278	7.0	1658
tt10695520	8.1	35
tt7219788	7.2	16
tt8942740	8.8	29
tt10695526	5.1	50
tt10695528	9.6	33
tt8496638	7.1	664
tt5528282	6.8	332
tt9301712	6.6	245
tt10695514	9.3	73
tt13876280	7.4	1455
tt6793198	6.6	18
tt10274888	7.9	25
tt10260294	4.1	916
tt12964804	8.3	14
tt10695508	9.3	69
tt10984420	7.2	55
tt10260290	8.4	8
tt9854130	5.9	11
tt7690392	7.9	624
tt8089324	6.1	73
tt11632488	8.1	305
tt12411710	7.4	5
tt12122544	8.1	26
tt8378512	8.0	6
tt10260592	8.3	36
tt10260594	8.0	31
tt6240896	8.1	10
tt10260580	8.4	46
tt10260584	8.2	36
tt10260588	7.6	32
tt6240880	5.4	10
tt14103088	8.3	852
tt5068098	8.3	128
tt7219232	7.5	41
tt6240850	5.8	20
tt13690820	7.8	30
tt8942292	6.7	29
tt5489112	7.5	141
tt5489114	9.0	212
tt6240842	7.5	21
tt9618510	5.9	9
tt5921050	9.0	25
tt14103066	7.2	87
tt9618522	5.5	17
tt10970766	6.6	16
tt5921060	7.8	10
tt5935682	6.9	146
tt8246646	6.8	19
tt9618574	5.8	6
tt8956888	7.5	30
tt7219286	8.0	5
tt5225428	5.2	267
tt4734012	5.9	50
tt5778264	1.0	27
tt6004752	9.0	33
tt14103024	7.7	181
tt8942260	5.9	36
tt11460810	6.0	5
tt11460818	6.5	3198
tt5778346	5.3	68
tt10681664	6.6	31
tt8653058	1.7	8
tt4695548	7.1	7564
tt14524028	6.9	176
tt6372694	4.2	10356
tt5778340	7.5	12
tt10681670	6.7	1047
tt8653064	6.4	1958
tt8653066	7.8	1986
tt11107196	4.3	35
tt10970802	6.6	111
tt12675378	7.2	6
tt11460854	6.1	12
tt3797850	5.7	17
tt5489156	6.5	45
tt8667650	4.5	205
tt9144434	6.8	308
tt9012710	8.1	8
tt11460862	6.0	26
tt15683426	5.7	11
tt18560798	7.0	50
tt5514654	9.2	7
tt9329348	7.4	5
tt10681612	6.1	28
tt10392324	7.7	69
tt5778324	4.4	23
tt5489164	4.2	28
tt6661904	6.2	131
tt5225488	6.3	150
tt3797888	4.6	254
tt5514638	8.2	358
tt12700854	8.1	16
tt5357236	8.0	8
tt8535976	8.2	44
tt7508376	6.4	8
tt16227700	5.2	17
tt5514614	6.7	56
tt5357214	6.8	10
tt5514604	3.7	109
tt5514606	6.3	6
tt13758154	6.7	23
tt8114880	6.3	11
tt13758184	7.1	12
tt14773536	8.2	39
tt5357204	7.1	46
tt17677112	8.8	6
tt4695530	7.6	7297
tt9144494	7.4	78
tt9144480	6.5	152
tt5357192	7.8	5
tt7219134	8.6	61
tt7283700	7.1	7
tt12386330	8.1	33
tt4734108	3.6	61
tt12411834	6.7	13
tt7219152	5.4	38
tt7219154	5.7	37
tt5357178	7.8	92
tt19222592	6.9	8
tt4734102	5.1	269
tt7219142	8.7	36
tt7690110	6.7	28
tt5921100	6.9	98
tt10260464	8.4	69
tt7572902	7.7	27
tt10260454	7.5	7
tt11632576	8.0	1025
tt6240976	6.0	102
tt11632578	8.7	1104
tt8535990	6.7	18
tt5935704	7.0	31466
tt8535994	6.2	16
tt11632580	8.7	1050
tt7508502	7.2	27
tt7572922	6.2	9
tt10260426	7.6	6
tt5921198	6.0	113
tt7572950	6.1	462
tt8942192	7.8	30
tt5225338	6.2	12605
tt9012532	9.2	5
tt10260408	8.3	317
tt5239960	8.2	10
tt5646500	7.0	641
tt8942184	6.9	7
tt7219176	7.9	11
tt13690900	7.1	8
tt9618458	7.9	16
tt6793878	5.9	228
tt7219166	7.9	11
tt12832824	7.8	9
tt5068162	6.2	2590
tt7219196	8.9	9
tt12675320	7.9	9
tt7219186	8.4	9
tt8403902	7.6	127
tt11460700	5.3	52
tt4010848	4.2	247
tt9144334	8.2	426
tt10681526	2.6	62
tt5500166	5.8	13
tt14117506	8.0	11
tt4010862	4.9	2688
tt12950018	8.4	74
tt12268814	6.2	9
tt5500152	6.7	141
tt5489276	3.9	28
tt10906350	5.9	66
tt9144314	8.8	16
tt8653134	8.0	18
tt11107298	5.6	10
tt10681508	4.1	14
tt5500140	8.0	194
tt11460714	7.4	8
tt11764382	4.6	7
tt8403878	8.3	129
tt5778204	7.2	62
tt8378442	7.7	120
tt11239000	6.7	6
tt6372724	7.0	271
tt8521438	6.0	28
tt13048024	7.0	8
tt8521460	6.9	27
tt8521464	6.2	27
tt13048014	7.9	27
tt8521458	6.6	173
tt8799524	7.7	10
tt4274788	2.3	237
tt11171812	7.5	302
tt10681596	8.6	16
tt5803602	7.4	45
tt13048050	7.6	23
tt11764306	6.5	44
tt10681592	6.0	11
tt10906300	8.2	3437
tt10906308	9.4	7320
tt12386396	7.1	37
tt12386398	7.4	28
tt11778926	6.4	9
tt9144360	8.4	18
tt11921878	6.0	10
tt7690020	6.9	503
tt7690022	6.8	28
tt7690026	7.3	11
tt8785160	3.3	11
tt8785150	8.2	5
tt7690008	8.5	1767
tt6490176	7.6	9
tt5632056	7.0	11
tt8810676	6.8	25
tt8785134	6.6	1290
tt8785138	5.2	30
tt8810682	6.8	21
tt3665704	5.5	233
tt11921840	7.4	26
tt12386406	9.6	10
tt8810658	7.1	8
tt8810660	7.0	25
tt10328040	6.6	11
tt7888650	7.1	18
tt6950878	7.1	144
tt11921868	5.9	9
tt12386438	8.3	182
tt7874030	7.1	11
tt8246490	7.9	19
tt8653328	5.9	81
tt11171480	7.7	420
tt8667972	6.6	17
tt6950852	7.1	17
tt12661060	5.1	456
tt9158900	4.5	77
tt5225220	7.4	21
tt6793580	7.2	10074
tt5489376	8.2	33
tt6950830	8.8	5
tt6950836	7.7	10
tt8653356	8.6	5
tt6490102	7.5	21
tt8810606	7.6	7
tt8942494	7.0	1227
tt6004536	8.6	5
tt12268780	7.8	12
tt8667938	5.6	13
tt12268788	7.4	14
tt5646604	4.6	87
tt5935434	6.1	9
tt6004548	8.8	12
tt5935420	7.1	9
tt6004512	7.4	117
tt8667956	6.5	11591
tt12268760	2.9	62
tt5489324	7.8	102
tt5489326	7.9	102
tt6004524	8.6	5
tt6004526	8.6	5
tt5778588	7.9	13
tt14103202	8.6	6
tt10260810	4.2	27
tt11764458	7.2	6
tt10260804	8.2	17
tt14538404	5.2	8
tt5489390	8.2	33
tt5489394	8.4	41
tt6004492	7.2	9
tt10392588	7.7	3298
tt11460620	7.2	95
tt5489382	8.4	34
tt9158822	7.9	7
tt5489384	8.4	36
tt19354444	7.2	9
tt9158804	5.9	17
tt8100062	6.9	23
tt12978936	4.8	13
tt5935492	1.5	32
